Entrance,2020.3591524478297,1700.4436268730442
Kitchen,1713.2402524478293,1884.5241268730442
Dining,1645.3002524478293,2159.1246268730433
Living,1923.4201524478294,2191.4784268730436
Corridor,2019.2320524478296,1900.024926873044
Bedroom2,2230.987952447824,2388.7032268730436
Bedroom2Bathroom,2222.8093524478236,2077.3916268730436
PowderRoom,2256.0686524478233,1739.064226873044
Study,2466.2453524478233,1732.3633268730441
Bedroom1,2489.1272524478236,2371.3195268730437
Bedroom1Bathroom,2507.235752447824,2006.6626268730438
MasterBedroom,2726.7235524478237,2256.3621268730435
MasterBedroomBathroom,2817.5957524478235,1846.277626873044
