MasterBedroomBathroom,2680.1579773194208,1804.3145407928291
MasterBedroom,2665.8399,2092.6740999999997
MasterBedroomWardrobe,2508.284514204821,1679.001938880017
Maid'sRoom,2136.903960639277,1680.255249200904
Entrance,1807.1405,1588.8807000000002
PowderRoom,1619.115830127284,1659.9217288544455
Laundry,1320.2576891090134,1667.289987836175
Corridor,1956.3757835996985,1819.8949492009042
Bedroom1,2304.3839108909883,2249.7113
Bedroom1Bathroom,2323.111720509136,2025.1445371997515
Bedroom2Bathroom,2047.3053301272844,1939.2627410182704
Bedroom2,2009.754,2247.0164
Kitchen,1533.0361459208439,1819.4700426407821
Dining,1400.5617096181486,2164.7955577088874
Living,1715.658598727162,2160.2576179634552
