r10-06-03,a_s_2bf_a2
r12-04-03,a_s_3b_a3m
r11-02-08,a_s_1b_a2
r12-05-02,a_s_2b_a1
r12-08-10,a_s_2bf_a1st
r12-01-11,a_s_1b_a1
r11-04-10,a_s_2bf_a1
r10-04-03,a_s_2bf_a2
r11-04-07,a_s_2bf_a1
r12-06-10,a_s_1b_a1
r11-08-11,a_s_2b_a1st
r10-01-06,a_s_3bf_a1m
r10-02-03,a_s_2bf_a2
r12-03-04,a_s_3b_a2m
r10-05-07,a_s_2b_b1m
r11-03-04,a_s_3b_a2m
r11-04-12,a_s_2b_b1m
r12-01-15,a_s_2b_a1st
r11-08-03,a_s_2b_a1
r10-07-07,a_s_2b_b1m
r10-03-01,a_s_2b_a1
r12-04-10,a_s_2bf_a1
r10-02-01,a_s_2b_a1
r11-07-12,a_s_3b_a2m
r10-06-04,a_s_3b_a1m
r10-04-06,a_s_3bf_a1m
r11-06-09,a_s_2bf_a1
r10-03-06,a_s_3bf_a1m
r12-04-07,a_s_2bf_a1
r12-02-06,a_s_2b_a1
r12-07-12,a_s_3b_a2m
r12-01-02,a_s_2b_a1
r10-01-03,a_s_2bf_a2
r11-06-01,a_s_1b_a1
r11-06-10,a_s_1b_a1
r10-03-05,a_s_3b_a4m
r10-05-05,a_s_3b_a4m
r11-07-07,a_s_1b_a2
r11-05-04,a_s_1b_a1
r12-06-01,a_s_1b_a1
r11-02-13,a_s_3b_a2m
r10-08-01,a_s_2b_a1
r11-08-01,a_s_1b_a3
r10-03-04,a_s_3b_a1m
r12-01-03,a_s_3b_a3m
r11-03-14,a_s_2bf_a1st
r10-02-05,a_s_3b_a4m
r11-04-15,a_s_2b_a1st
r10-06-06,a_s_3bf_a1m
r10-01-07,a_s_2b_b1m
r12-08-07,a_s_2bf_a1
r11-02-07,a_s_2bf_a1
r12-02-09,a_s_2b_a1
r10-03-07,a_s_2b_b1m
r10-06-01,a_s_2b_a1
r11-02-05,a_s_1b_a1
r11-02-12,a_s_2b_b1m
r12-07-13,a_s_2bf_a1st
r11-08-09,a_s_2b_b1m
r10-08-05,a_s_3b_a1m
r10-05-02,a_s_1b_a1
r11-01-03,a_s_3b_a3m
r12-01-08,a_s_1b_a2
r11-07-01,a_s_1b_a1
r12-07-09,a_s_2bf_a1
r12-01-09,a_s_2b_a1
r10-06-05,a_s_3b_a4m
r12-01-12,a_s_2b_b1m
r11-03-05,a_s_1b_a1
r11-03-10,a_s_2bf_a1
r10-05-04,a_s_3b_a1m
r11-05-13,a_s_2bf_a1st
r11-05-02,a_s_2b_a1
r12-07-05,a_s_2b_a1
r12-03-13,a_s_3b_a2m
