MasterBedroom,2194.380026171875,2816.0408087890623
MasterBedroomBathroom,1757.849505859375,2861.591751660156
PowderRoom,1708.5024828125001,2049.2652722656253
Kitchen,1928.6657391601564,1468.4897629882812
LivingRoom,2148.828995507812,1829.1021037109374
DiningRoom,2209.5637323242186,1457.1019614257812
MaidRoom,1769.2372196289064,1559.5918243164062
Bedroom2,2148.828995507812,2121.3877228515626
Office,1697.1147690429686,2542.7346248046874
Laundry,1708.5024828125001,2216.2857765625
Bedroom3,2148.828995507812,2481.9998879882814
MasterBedroomWardrobe,1943.8494453125,2831.224514941406
Entrance,1655.35964296875,1851.87753125
Corridor,1818.5841548828125,1889.836752734375
Balcony1,2437.3189734375,1195.183666796875
