Dining,1584.8878,1981.0016
Kitchen,1567.1639,1713.6345999999999
Entrance,1812.1624000000002,1493.0881
Corridor,1810.8503999999998,1794.0258
Living,1633.4128999999998,2236.9444000000003
PowderRoom,2027.3472000000002,1651.4994000000002
Laundry,2259.852705350199,1649.6932000000002
Bedroom1Wardrobe,1985.5328,2017.754
Bedroom1Bathroom,2214.3868,1939.8998000000001
Bedroom,2065.0477,2264.0874
MasterBedroom,2466.6911,2287.8471
MasterBedroomWardrobe,2542.06,1990.1154000000001
MasterBedroomBathroom,2640.7788,1712.9247999999998
Balcony,1977.2496,2549.9338
