Unit Name,Unit Type,Unit Type Dev,Mirrored,
b2-605,3 Bedroom Type A [1],a_s_3b_a1_s1_0,Flipped,0
b2-606,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,270
b2-607,1 Bedroom Duplex Type A,d_s_1b_a1_s1_0,Normal,180
b3-101,1 Bedroom Type B,a_s_1b_b1_s1_0,Flipped,180
b3-102,3 Bedroom Type A ADA,a_s_3b_a2_s1_0,Flipped,0
b3-103,2 Bedroom Type A,a_s_2b_a2_s1_0,Normal,0
b3-104,3 Bedroom Type A [4],a_s_3b_a5_s1_0,Normal,0
b3-105,2 Bedroom Type B ADA,a_s_2b_b2_s1_0,Normal,180
b3-106,Studio Type A,a_s_s_a1_s1_0,Flipped,180
b3-201,1 Bedroom Duplex Type A,d_s_1b_a1_s1_0,Flipped,180
b3-202,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,90
b3-203,3 Bedroom Type A [1],a_s_3b_a1_s1_0,Normal,0
b3-204,2 Bedroom Type A,a_s_2b_a2_s1_0,Normal,0
b3-205,3 Bedroom Type A [1],a_s_3b_a1_s1_0,Flipped,0
b3-206,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,270
b3-207,1 Bedroom Duplex Type A,d_s_1b_a1_s1_0,Normal,180
b3-301,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,90
b3-302,3 Bedroom Type A [1],a_s_3b_a1_s1_0,Normal,0
b3-303,2 Bedroom Type A,a_s_2b_a2_s1_0,Normal,0
b3-304,3 Bedroom Type A [1],a_s_3b_a1_s1_0,Flipped,0
b3-305,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,270
b3-501,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,90
b3-502,3 Bedroom Type A [1],a_s_3b_a1_s1_0,Normal,0
b3-503,2 Bedroom Type A,a_s_2b_a2_s1_0,Normal,0
b3-504,3 Bedroom Type A [1],a_s_3b_a1_s1_0,Flipped,0
b3-505,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,270
b3-701,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,90
b3-702,3 Bedroom Type A [1],a_s_3b_a1_s1_0,Normal,0
b3-703,2 Bedroom Type A,a_s_2b_a2_s1_0,Normal,0
b3-704,3 Bedroom Type A [1],a_s_3b_a1_s1_0,Flipped,0
b3-705,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,270
b3-401,1 Bedroom Duplex Type A,d_s_1b_a1_s1_0,Flipped,180
b3-402,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,90
b3-403,3 Bedroom Type A [1],a_s_3b_a1_s1_0,Normal,0
b3-404,2 Bedroom Type A,a_s_2b_a2_s1_0,Normal,0
b3-405,3 Bedroom Type A [1],a_s_3b_a1_s1_0,Flipped,0
b3-406,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,270
b3-407,1 Bedroom Duplex Type A,d_s_1b_a1_s1_0,Normal,180
b3-601,1 Bedroom Duplex Type A,d_s_1b_a1_s1_0,Flipped,180
b3-602,2 Bedroom Type B,a_s_2b_b1_s1_0,Flipped,90
b3-603,3 Bedroom Type A [1],a_s_3b_a1_s1_0,Normal,0
b3-604,2 Bedroom Type A,a_s_2b_a2_s1_0,Normal,0
b3-605,3 Bedroom Type A [1],a_s_3b_a1_s1_0,Flipped,0
b3-606,2 Bedroom Type B,a_s_2b_b1_s1_0,Normal,270
b3-607,1 Bedroom Duplex Type A,d_s_1b_a1_s1_0,Normal,180
