Entrance,2029.6939000000002,2385.217
Corridor,2053.5790088806143,2300.78299067503
Kitchen,1768.9699,2061.247
MasterBedroom,1775.9254,2268.0413
Pantry,1914.8575,2131.0442
OutdoorPool,1842.6917887211657,1561.1650308174871
LivingBalcony,2048.4714696268716,1788.805837744233
SummerKitchen,2277.6065186499377,1615.2162327713522
SeatingArea,2415.2334730902444,1815.1476553290213
Bedroom1,2326.3515,2587.4931
Bedroom2,2346.2482,2375.5199
Maidroom,2378.8591,2248.216
LivingDining,2110.1267,2022.6089000000002
Study,2125.5059,2432.1845
Storage,2120.9232,2517.5763
MasterBedroomBalcony,1556.7088195386523,2185.993575044108
BedroomBalcony,2529.18856181141,2470.4857603019013
PowderRoom,1967.5916000000002,2218.8363
