Entrance,2435.5918381705123,2297.269810364086
Living,1951.7836606984554,2321.612871455813
Dining,1899.3167673244443,2628.3837150897434
Kitchen,2151.818485946372,2599.482655379221
Pantry,2307.325059251766,2776.344934091512
MaidRoom,2369.67734201588,2525.43820755478
Corridor,2279.165492536014,2184.309658205156
Laundry,2441.1943203200444,1807.9046248364566
StudyRoom,2360.498036985092,1641.207696722739
Bedroom1,1972.6479889432078,2017.3461003833113
Bedroom2,1967.5053929582293,1676.874611292531
MasterBedroom,2084.836109302156,1372.8660500913984
Balcony,1707.127062707617,2006.399345955619
