Entrance,2019.4456543030456,2436.45822848477
Corridor,2194.49237833312,2287.9726928788073
Kitchen,1733.1010400606592,2040.7505086060921
MasterBedroom,1704.1876801213193,2293.6619142423847
Pantry,1863.6162715152288,2210.468104151397
OutdoorPool,1758.1437730001267,1717.4507468785537
LivingBalcony,2048.4715,1765.7472471818528
SummerKitchen,2275.044438575761,1692.0780427271593
SeatingArea,2415.2335,1815.1477
Bedroom1,2308.4170700303307,2605.4275299696696
Bedroom2,2312.9414014848994,2383.206084272715
Maidroom,2386.5452842727154,2261.026307121192
LivingDining,2110.1267,2022.6089
Study,2130.630022848477,2424.498315727284
Storage,2131.1714456969544,2589.3140198786823
MasterBedroomBalcony,1525.964062909137,2191.117722848474
BedroomBalcony,2495.8818014848994,2488.4202299696694
PowderRoom,1947.0951086060902,2282.887835605962
